score,quote,cover,title,rank,comment_num
8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220776342.jpg,爆裂鼓手,180,228407
8.3,不要企图在重复中寻找已经失去的爱。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462470694.jpg,恐怖游轮,181,309235
8.5,谁说王家卫镜头很晃？,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p667644866.jpg,谍影重重2,182,154401
8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1597183981.jpg,谍影重重,183,186215
8.5,王家卫是一种风格，张国荣是一个代表。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p924558512.jpg,阿飞正传,184,174508
8.6,Jared Leto的腿比女人还美！,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2166160837.jpg,达拉斯买家俱乐部,185,162263
8.6,生命不止，摇滚不死。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p769608791.jpg,海盗电台,186,161966
8.7,弱者送给弱者的一刀。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p848381236.jpg,牯岭街少年杀人事件,187,102461
8.8,故事的反转与反转，分裂电影的始祖。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1021883305.jpg,惊魂记,188,79526
8.4,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456676352.jpg,魔女宅急便,189,187119
8.5,爱我就给我看你的播放列表。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2250287733.jpg,再次出发之纽约遇见你,190,160516
